DR,A%,DF%,1stIn,1st%,2nd%
1.01,9.00%,3.80%,60.30%,76.60%,56.50%
0.81,6.10%,5.60%,61.10%,78.20%,41.40%
1.2,9.00%,7.60%,63.40%,75.00%,45.30%
1.27,9.30%,4.70%,64.00%,78.20%,48.40%
1.1,13.10%,4.60%,59.40%,70.20%,45.10%
1.29,10.00%,4.40%,60.00%,72.20%,58.30%
0.87,11.40%,2.30%,62.50%,80.00%,36.40%
0.75,5.40%,5.40%,67.90%,73.70%,44.40%
1.46,15.60%,4.70%,56.30%,83.30%,50.00%
1.2,5.70%,2.90%,72.90%,78.40%,52.60%
0.82,5.30%,7.10%,59.30%,65.70%,50.00%
0.92,9.80%,6.10%,66.70%,64.80%,40.90%
1.26,7.40%,2.90%,72.10%,83.70%,57.90%
1.14,6.70%,4.50%,62.90%,80.40%,48.50%
1.03,15.40%,4.40%,59.30%,74.10%,45.90%
3.64,12.20%,0.00%,75.60%,90.30%,80.00%
0.9,10.00%,6.70%,68.30%,80.50%,47.40%
1.42,12.70%,10.90%,65.50%,80.60%,36.80%
0.69,7.70%,5.10%,73.10%,75.40%,52.40%
1.55,14.00%,1.80%,71.90%,80.50%,68.80%
1.23,8.50%,11.00%,65.90%,68.50%,46.40%
1.18,4.10%,10.80%,63.50%,74.50%,40.70%
2.02,18.00%,6.00%,68.00%,85.30%,43.80%
