A%,DF%,1stIn,1st%,2nd%
0.99,0.082,0.006,0.776,0.712
1.34,0.063,0.009,0.847,0.734
1.19,0.1,0.04,0.76,0.763
1.77,0.136,0.012,0.716,0.793
1.07,0.117,0.011,0.749,0.784
1.25,0.145,0.015,0.718,0.777
1.53,0.083,0.01,0.75,0.861
0.99,0.12,0,0.687,0.737
1.5,0.089,0,0.804,0.756
1.04,0.121,0.011,0.736,0.701
1.79,0.08,0.011,0.736,0.813
1.17,0.165,0.021,0.773,0.787
0.83,0.134,0,0.761,0.667
1.24,0.152,0.015,0.712,0.702
0.8,0.065,0,0.753,0.672
0.99,0.083,0.015,0.758,0.7
1.17,0.062,0.025,0.741,0.7
0.96,0.133,0.011,0.722,0.738
1.39,0.164,0,0.818,0.8
1.85,0.093,0.07,0.605,0.885
