Rank,Name
1,Novak Djokovic [SRB]
2,Carlos Alcaraz [ESP]
3,Daniil Medvedev [RUS]
4,Jannik Sinner [ITA]
5,Andrey Rublev [RUS]
6,Alexander Zverev [GER]
7,Stefanos Tsitsipas [GRE]
8,Holger Rune [DEN]
9,Hubert Hurkacz [POL]
10,Alex De Minaur [AUS]
11,Casper Ruud [NOR]
12,Taylor Fritz [USA]
13,Grigor Dimitrov [BUL]
14,Tommy Paul [USA]
15,Karen Khachanov [RUS]
16,Ben Shelton [USA]
17,Frances Tiafoe [USA]
18,Nicolas Jarry [CHI]
19,Adrian Mannarino [FRA]
20,Ugo Humbert [FRA]
21,Francisco Cerundolo [ARG]
22,Cameron Norrie [GBR]
23,Jiri Lehecka [CZE]
24,Alejandro Davidovich Fokina [ESP]
25,Jan Lennard Struff [GER]
26,Sebastian Korda [USA]
27,Alexander Bublik [KAZ]
28,Lorenzo Musetti [ITA]
29,Sebastian Baez [ARG]
30,Felix Auger Aliassime [CAN]
31,Tallon Griekspoor [NED]
32,Tomas Martin Etcheverry [ARG]
33,Laslo Djere [SRB]
34,Arthur Fils [FRA]
35,Christopher Eubanks [USA]
36,Roman Safiullin [RUS]
37,Sebastian Ofner [AUT]
38,Daniel Evans [GBR]
39,Aslan Karatsev [RUS]
40,Borna Coric [CRO]
41,Matteo Arnaldi [ITA]
42,Mackenzie Mcdonald [USA]
43,Alexei Popyrin [AUS]
44,Andy Murray [GBR]
45,Max Purcell [AUS]
46,Lorenzo Sonego [ITA]
47,Jordan Thompson [AUS]
48,Alexander Shevchenko [RUS]
49,Alejandro Tabilo [CHI]
50,Daniel Altmaier [GER]
