Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
1,Novak Djokovic [SRB],57,48-9,84.20%,69.40%,68.90%,398,8.50%,145,3.10%,8.60%,63.90%,76.10%,57.40%,62.80%,87.60%,6,1.8
2,Carlos Alcaraz [ESP],77,65-12,84.40%,66.80%,66.90%,317,5.40%,168,2.90%,8.40%,65.70%,72.20%,56.30%,61.50%,85.40%,6.2,2.1
3,Daniil Medvedev [RUS],77,61-16,79.20%,66.00%,66.70%,540,9.20%,325,5.50%,15.30%,63.90%,75.50%,49.20%,58.10%,84.70%,6.3,2.2
4,Jannik Sinner [ITA],75,62-13,82.70%,68.20%,67.00%,471,8.30%,134,2.40%,5.90%,59.50%,76.10%,56.50%,60.00%,88.00%,6.2,2
5,Andrey Rublev [RUS],78,56-22,71.80%,66.50%,64.70%,577,9.20%,142,2.30%,5.80%,61.00%,75.40%,52.50%,55.80%,84.20%,6.3,2.1
6,Alexander Zverev [GER],85,59-26,69.40%,67.10%,65.80%,668,10.20%,215,3.30%,11.20%,70.70%,73.80%,51.00%,57.40%,85.70%,6.2,2
7,Stefanos Tsitsipas [GRE],66,41-25,62.10%,69.80%,68.80%,440,9.00%,130,2.70%,7.30%,63.70%,78.60%,54.50%,58.80%,88.50%,6,1.8
8,Holger Rune [DEN],71,47-24,66.20%,65.60%,66.20%,370,7.00%,239,4.50%,12.00%,62.10%,72.70%,53.90%,61.20%,83.90%,6.3,2.2
9,Hubert Hurkacz [POL],65,43-22,66.20%,69.30%,64.60%,981,17.00%,123,2.10%,5.90%,64.00%,79.20%,51.50%,54.80%,88.90%,6.2,1.9
10,Alex De Minaur [AUS],76,49-27,64.50%,64.50%,65.10%,262,4.70%,194,3.50%,8.20%,57.40%,72.70%,53.50%,58.30%,80.20%,6.3,2.2
11,Casper Ruud [NOR],57,37-20,64.90%,65.20%,65.20%,301,6.40%,160,3.40%,9.30%,63.20%,71.90%,53.70%,59.20%,83.90%,6.4,2.2
12,Taylor Fritz [USA],71,49-22,69.00%,68.40%,66.40%,638,11.80%,157,2.90%,7.20%,59.60%,78.10%,54.10%,58.30%,86.00%,6.1,1.9
13,Grigor Dimitrov [BUL],62,43-19,69.40%,66.90%,66.60%,450,9.50%,203,4.30%,11.10%,61.30%,76.80%,51.20%,57.60%,84.50%,6.2,2
14,Tommy Paul [USA],65,37-28,56.90%,64.00%,63.00%,407,7.90%,156,3.00%,8.00%,62.00%,71.30%,52.20%,56.70%,80.50%,6.4,2.3
15,Karen Khachanov [RUS],42,26-16,61.90%,65.90%,64.50%,262,8.30%,79,2.50%,6.70%,62.50%,73.20%,53.70%,57.50%,83.40%,6.2,2.1
16,Ben Shelton [USA],46,22-24,47.80%,66.00%,65.50%,456,11.60%,208,5.30%,14.80%,64.40%,75.10%,49.70%,58.40%,83.20%,6.3,2.1
17,Frances Tiafoe [USA],56,33-23,58.90%,67.00%,65.40%,447,10.30%,126,2.90%,7.40%,60.70%,76.30%,52.80%,57.00%,85.30%,6.3,2.1
18,Nicolas Jarry [CHI],63,43-20,68.30%,68.50%,66.60%,532,10.70%,125,2.50%,7.30%,65.60%,76.50%,53.20%,57.40%,87.50%,6.2,1.9
19,Adrian Mannarino [FRA],69,45-24,65.20%,64.10%,63.70%,318,6.40%,149,3.00%,7.60%,60.60%,70.80%,53.70%,58.10%,80.20%,6.3,2.3
20,Ugo Humbert [FRA],58,36-22,62.10%,65.20%,64.30%,354,8.50%,134,3.20%,8.10%,60.30%,74.10%,51.70%,56.30%,81.60%,6.3,2.2
21,Francisco Cerundolo [ARG],63,38-25,60.30%,61.00%,62.30%,189,3.80%,220,4.40%,12.90%,65.60%,67.50%,48.50%,55.70%,75.60%,6.6,2.6
22,Cameron Norrie [GBR],59,32-27,54.20%,64.00%,63.60%,273,5.80%,126,2.70%,7.80%,65.30%,70.70%,51.40%,55.70%,81.00%,6.4,2.3
23,Jiri Lehecka [CZE],64,38-26,59.40%,64.60%,63.50%,359,7.90%,129,2.80%,8.10%,64.90%,71.60%,51.60%,56.10%,80.50%,6.3,2.2
24,Alejandro Davidovich Fokina [ESP],59,32-27,54.20%,62.60%,62.40%,178,4.00%,97,2.20%,6.40%,66.10%,67.50%,53.00%,56.60%,78.50%,6.6,2.5
25,Jan Lennard Struff [GER],38,21-17,55.30%,65.00%,63.40%,377,11.60%,134,4.10%,10.00%,58.90%,75.00%,50.70%,56.30%,83.40%,6.6,2.3
26,Sebastian Korda [USA],36,20-16,55.60%,66.20%,64.00%,326,11.20%,85,2.90%,7.70%,61.90%,74.60%,52.50%,56.80%,83.40%,6.4,2.2
27,Alexander Bublik [KAZ],56,29-27,51.80%,65.50%,67.50%,542,14.60%,370,10.00%,24.50%,59.20%,79.80%,44.70%,59.30%,82.50%,6.3,2.2
28,Lorenzo Musetti [ITA],61,30-31,49.20%,62.60%,62.90%,226,5.10%,149,3.30%,8.80%,62.10%,70.20%,50.20%,55.10%,78.10%,6.4,2.4
29,Sebastian Baez [ARG],57,32-25,56.10%,61.70%,62.00%,113,2.70%,85,2.10%,7.30%,72.00%,64.90%,53.50%,57.70%,76.40%,6.5,2.5
30,Felix Auger Aliassime [CAN],37,19-18,51.40%,65.70%,66.00%,312,10.80%,175,6.10%,15.10%,59.80%,76.90%,48.90%,57.60%,83.60%,6.4,2.2
31,Tallon Griekspoor [NED],60,33-27,55.00%,66.90%,66.00%,483,10.20%,186,3.90%,10.80%,63.60%,75.60%,51.80%,58.00%,85.40%,6.3,2.1
32,Tomas Martin Etcheverry [ARG],57,30-27,52.60%,64.30%,62.90%,337,7.40%,94,2.10%,5.80%,64.70%,70.80%,52.50%,55.70%,81.10%,6.4,2.3
33,Laslo Djere [SRB],60,35-25,58.30%,64.80%,64.20%,353,7.70%,152,3.30%,8.90%,62.60%,72.40%,52.20%,57.30%,82.80%,6.6,2.3
34,Arthur Fils [FRA],48,28-20,58.30%,64.80%,64.80%,302,8.40%,160,4.40%,11.50%,61.60%,74.20%,49.80%,56.30%,82.40%,6.4,2.2
35,Christopher Eubanks [USA],38,19-19,50.00%,66.90%,64.70%,435,12.70%,120,3.50%,11.20%,68.60%,73.60%,52.30%,58.90%,85.60%,6.3,2.1
36,Roman Safiullin [RUS],40,22-18,55.00%,66.20%,66.50%,252,8.10%,142,4.50%,12.30%,63.10%,74.50%,52.00%,59.30%,83.00%,6.3,2.1
37,Sebastian Ofner [AUT],34,17-17,50.00%,62.10%,61.00%,233,8.50%,97,3.60%,8.40%,57.70%,72.40%,48.10%,52.60%,75.70%,6.4,2.4
38,Daniel Evans [GBR],42,18-24,42.90%,63.30%,64.10%,159,5.50%,125,4.30%,10.50%,58.40%,71.40%,51.80%,57.90%,78.30%,6.3,2.3
39,Aslan Karatsev [RUS],37,19-18,51.40%,64.90%,66.60%,221,7.20%,192,6.20%,15.20%,59.00%,74.90%,50.40%,59.50%,81.00%,6.4,2.3
40,Borna Coric [CRO],41,23-18,56.10%,64.20%,63.80%,172,6.20%,80,2.90%,7.10%,59.60%,73.60%,50.20%,54.10%,80.00%,6.3,2.2
41,Matteo Arnaldi [ITA],44,26-18,59.10%,63.10%,63.20%,249,6.30%,150,3.80%,9.00%,57.80%,69.80%,53.90%,59.30%,81.40%,6.7,2.5
42,Mackenzie Mcdonald [USA],59,31-28,52.50%,62.40%,62.10%,238,5.90%,123,3.00%,8.50%,64.30%,69.20%,50.20%,54.90%,77.60%,6.4,2.4
43,Alexei Popyrin [AUS],43,21-22,48.80%,65.70%,64.00%,394,10.50%,122,3.20%,8.40%,61.20%,75.50%,50.20%,54.80%,84.30%,6.6,2.3
44,Andy Murray [GBR],31,15-16,48.40%,63.70%,63.30%,133,5.00%,62,2.30%,5.90%,60.50%,71.40%,51.70%,55.00%,79.20%,6.5,2.4
