Rank,Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023,63,56,7,0.889,144-32,0.818,1044-704,0.597,45535,0.795,63,0.889,0.288,0.086,0.034,0.639,0.77,0.574,0.699,0.41,0.549,1.36,,,,,,
1,2022,50,43,7,0.86,99-27,0.786,712-490,0.592,45431,0.792,47,0.879,0.285,0.08,0.025,0.656,0.772,0.565,0.701,0.412,0.551,1.38,,,,,,
1,2021,63,56,7,0.889,141-41,0.775,1044-673,0.608,45638,0.5,56,0.876,0.338,0.093,0.031,0.648,0.768,0.544,0.689,0.43,0.554,1.38,,,,,,
1,2020,46,41,5,0.891,99-22,0.818,685-450,0.604,45337,0.882,46,0.861,0.33,0.078,0.038,0.643,0.754,0.529,0.674,0.433,0.549,1.33,,,,,,
1,2019,65,55,10,0.846,135-31,0.813,949-607,0.61,45397,0.789,64,0.88,0.323,0.078,0.034,0.66,0.763,0.568,0.697,0.421,0.554,1.39,,,,,,
2,2023,84,66,18,0.786,149-56,0.727,1147-825,0.582,18-13,0.581,79,0.873,0.286,0.082,0.024,0.598,0.76,0.561,0.68,0.406,0.539,1.27,,,,,,
2,2022,64,47,17,0.734,118-54,0.686,924-745,0.554,45489,0.696,61,0.834,0.265,0.076,0.034,0.584,0.745,0.534,0.657,0.399,0.526,1.16,,,,,,
2,2021,72,50,22,0.694,112-64,0.636,956-812,0.541,22-14,0.611,70,0.81,0.27,0.059,0.025,0.599,0.711,0.544,0.644,0.399,0.52,1.12,,,,,,
2,2020,31,20,11,0.645,49-28,0.636,408-337,0.548,45449,0.5,30,0.803,0.283,0.042,0.028,0.613,0.712,0.5,0.63,0.408,0.519,1.1,,,,,,
2,2019,21,11,10,0.524,16-25,0.39,174-203,0.462,0-6,0,21,0.772,0.235,0.056,0.026,0.593,0.697,0.528,0.628,0.371,0.497,1,,,,,,
3,2023,77,65,12,0.844,152-43,0.779,1100-785,0.584,45554,0.679,77,0.854,0.309,0.054,0.029,0.657,0.722,0.563,0.668,0.42,0.539,1.26,,,,,,
3,2022,70,57,13,0.814,140-51,0.733,1077-804,0.573,22-15,0.595,68,0.847,0.306,0.046,0.031,0.665,0.718,0.552,0.663,0.414,0.533,1.23,,,,,,
3,2021,49,32,17,0.653,70-51,0.579,613-546,0.529,45636,0.545,49,0.763,0.308,0.04,0.028,0.628,0.681,0.536,0.627,0.408,0.516,1.09,,,,,,
3,2020,2,1,1,0.5,45354,0.5,32-34,0.485,2-0,1,2,0.688,0.25,0.026,0.038,0.65,0.664,0.427,0.581,0.426,0.501,1.02,,,,,,
4,2023,85,67,18,0.788,150-59,0.718,1167-864,0.575,17-15,0.531,84,0.847,0.305,0.092,0.054,0.642,0.754,0.491,0.66,0.409,0.534,1.2,,,,,,
4,2022,64,45,19,0.703,115-48,0.706,903-690,0.567,45643,0.586,64,0.864,0.267,0.118,0.051,0.644,0.763,0.51,0.673,0.396,0.533,1.21,,,,,,
4,2021,76,63,13,0.829,151-48,0.759,1115-774,0.59,45637,0.522,71,0.87,0.314,0.126,0.043,0.624,0.785,0.525,0.687,0.415,0.545,1.33,,,,,,
4,2020,38,28,10,0.737,68-33,0.673,534-407,0.567,45448,0.545,38,0.863,0.275,0.126,0.035,0.608,0.779,0.542,0.686,0.403,0.537,1.28,,,,,,
4,2019,76,56,20,0.737,137-58,0.703,1066-827,0.563,45588,0.697,76,0.842,0.279,0.114,0.043,0.597,0.758,0.544,0.671,0.402,0.533,1.22,,,,,,
5,2023,82,55,27,0.671,126-83,0.603,1110-968,0.534,18-21,0.462,82,0.842,0.231,0.102,0.037,0.705,0.737,0.492,0.665,0.377,0.518,1.12,,,,,,
5,2022,40,29,11,0.725,69-28,0.711,528-417,0.559,45629,0.8,39,0.842,0.269,0.097,0.049,0.716,0.734,0.484,0.663,0.396,0.527,1.17,,,,,,
5,2021,75,60,15,0.8,146-51,0.741,1102-823,0.572,45650,0.667,67,0.861,0.275,0.134,0.051,0.675,0.774,0.516,0.69,0.394,0.534,1.27,,,,,,
5,2020,39,28,11,0.718,77-39,0.664,624-516,0.547,45605,0.55,39,0.828,0.27,0.123,0.064,0.683,0.77,0.45,0.669,0.393,0.525,1.19,,,,,,
5,2019,69,44,25,0.638,109-73,0.599,949-848,0.528,20-13,0.606,67,0.799,0.257,0.133,0.072,0.669,0.749,0.442,0.648,0.39,0.515,1.11,,,,,,
6,2023,81,56,25,0.691,139-78,0.641,1172-977,0.545,19-17,0.528,81,0.842,0.247,0.094,0.024,0.615,0.754,0.513,0.661,0.386,0.521,1.14,,,,,,
6,2022,71,51,20,0.718,118-66,0.641,975-824,0.542,45580,0.6,71,0.848,0.235,0.102,0.027,0.623,0.763,0.513,0.669,0.382,0.521,1.15,,,,,,
6,2021,78,55,23,0.705,127-67,0.655,1053-849,0.554,17-15,0.531,74,0.859,0.251,0.099,0.025,0.609,0.771,0.519,0.672,0.394,0.529,1.2,,,,,,
6,2020,51,41,10,0.804,94-36,0.723,724-544,0.571,45606,0.524,51,0.862,0.287,0.11,0.02,0.596,0.79,0.539,0.688,0.403,0.539,1.29,,,,,,
6,2019,55,37,18,0.673,81-54,0.6,719-629,0.533,13-13,0.5,55,0.818,0.251,0.082,0.041,0.593,0.744,0.509,0.649,0.396,0.518,1.13,,,,,,
7,2023,64,42,22,0.656,100-58,0.633,850-715,0.543,18-18,0.5,62,0.839,0.239,0.095,0.044,0.611,0.766,0.51,0.666,0.38,0.522,1.14,,,,,,
7,2022,48,26,22,0.542,63-52,0.548,598-545,0.523,45577,0.455,48,0.824,0.222,0.077,0.04,0.63,0.75,0.512,0.662,0.37,0.512,1.09,,,,,,
7,2021,42,24,18,0.571,57-45,0.559,527-468,0.53,45455,0.333,42,0.81,0.249,0.067,0.047,0.644,0.735,0.508,0.654,0.388,0.519,1.12,,,,,,
7,2020,30,19,11,0.633,50-31,0.617,427-363,0.541,45512,0.5,29,0.793,0.286,0.05,0.051,0.622,0.703,0.496,0.625,0.406,0.518,1.08,,,,,,
7,2019,41,21,20,0.512,58-56,0.509,621-576,0.519,45556,0.3,40,0.82,0.226,0.08,0.046,0.631,0.746,0.502,0.656,0.374,0.512,1.09,,,,,,
8,2023,68,45,23,0.662,116-80,0.592,1077-977,0.524,32-30,0.516,68,0.881,0.163,0.168,0.022,0.639,0.796,0.507,0.692,0.343,0.513,1.11,,,,,,
8,2022,62,41,21,0.661,100-62,0.617,914-769,0.543,22-26,0.458,62,0.906,0.179,0.162,0.02,0.638,0.784,0.548,0.698,0.347,0.52,1.15,,,,,,
8,2021,60,37,23,0.617,94-58,0.618,815-717,0.532,20-13,0.606,57,0.855,0.196,0.124,0.022,0.636,0.754,0.532,0.673,0.361,0.515,1.11,,,,,,
8,2020,28,15,13,0.536,40-36,0.526,389-379,0.507,45449,0.5,28,0.787,0.223,0.095,0.044,0.595,0.738,0.464,0.627,0.371,0.501,0.99,,,,,,
8,2019,48,25,23,0.521,59-60,0.496,604-593,0.505,45578,0.435,48,0.829,0.179,0.092,0.037,0.647,0.732,0.52,0.657,0.35,0.505,1.02,,,,,,
9,2023,74,50,24,0.676,120-69,0.635,1065-900,0.542,27-23,0.54,72,0.888,0.193,0.096,0.027,0.64,0.781,0.553,0.699,0.347,0.522,1.15,,,,,,
9,2022,85,61,24,0.718,143-76,0.653,1193-1000,0.544,29-17,0.63,81,0.862,0.209,0.095,0.027,0.632,0.764,0.55,0.685,0.36,0.522,1.14,,,,,,
9,2021,75,56,19,0.747,135-61,0.689,1088-823,0.569,16-13,0.552,70,0.874,0.255,0.086,0.028,0.628,0.76,0.567,0.688,0.387,0.535,1.24,,,,,,
9,2020,44,30,14,0.682,74-38,0.661,623-492,0.559,45639,0.52,41,0.884,0.215,0.092,0.027,0.65,0.763,0.572,0.696,0.369,0.528,1.21,,,,,,
9,2019,80,55,25,0.688,132-75,0.638,1131-992,0.533,32-13,0.711,78,0.856,0.196,0.086,0.027,0.638,0.763,0.531,0.679,0.356,0.517,1.11,,,,,,
10,2023,74,48,26,0.649,107-75,0.588,928-798,0.538,45549,0.609,72,0.793,0.284,0.047,0.036,0.566,0.722,0.533,0.64,0.407,0.52,1.13,,,,,,
10,2022,72,47,25,0.653,112-71,0.612,952-822,0.537,45641,0.556,65,0.785,0.284,0.046,0.027,0.594,0.693,0.526,0.625,0.403,0.514,1.08,,,,,,
10,2021,50,25,25,0.5,62-62,0.5,607-604,0.501,45545,0.474,50,0.764,0.247,0.039,0.028,0.607,0.683,0.523,0.62,0.387,0.504,1.02,,,,,,
10,2020,23,13,10,0.565,36-29,0.554,328-319,0.507,45451,0.429,23,0.763,0.258,0.038,0.03,0.615,0.697,0.494,0.619,0.395,0.505,1.04,,,,,,
10,2019,59,40,19,0.678,85-51,0.625,719-631,0.533,45583,0.643,58,0.841,0.232,0.055,0.031,0.611,0.743,0.553,0.669,0.378,0.521,1.14,,,,,,
11,2023,70,46,24,0.657,110-65,0.629,928-828,0.528,45619,0.676,66,0.832,0.217,0.067,0.048,0.62,0.724,0.532,0.651,0.368,0.51,1.05,,,,,,
11,2022,64,40,24,0.625,89-63,0.586,802-730,0.523,45641,0.556,63,0.831,0.222,0.058,0.045,0.644,0.721,0.53,0.653,0.373,0.511,1.08,,,,,,
11,2021,20,7,13,0.35,20-27,0.426,202-217,0.482,45326,0.333,20,0.717,0.243,0.048,0.047,0.604,0.683,0.497,0.61,0.376,0.492,0.96,,,,,,
12,2023,77,53,24,0.688,129-65,0.665,1069-875,0.55,25-17,0.595,76,0.867,0.225,0.122,0.029,0.6,0.784,0.543,0.688,0.377,0.53,1.21,,,,,,
12,2022,68,47,21,0.691,117-68,0.632,1015-841,0.547,24-20,0.545,62,0.845,0.247,0.121,0.026,0.62,0.764,0.526,0.673,0.382,0.524,1.17,,,,,,
12,2021,56,34,22,0.607,85-65,0.567,791-742,0.516,20-15,0.571,56,0.821,0.204,0.11,0.036,0.589,0.751,0.515,0.654,0.36,0.508,1.04,,,,,,
12,2020,29,14,15,0.483,41-40,0.506,412-388,0.515,45423,0.313,29,0.841,0.195,0.141,0.025,0.606,0.78,0.507,0.673,0.36,0.513,1.1,,,,,,
12,2019,61,32,29,0.525,73-71,0.507,719-724,0.498,45643,0.586,58,0.839,0.149,0.117,0.032,0.586,0.761,0.515,0.659,0.332,0.497,0.97,,,,,,
13,2023,57,33,24,0.579,79-62,0.56,740-674,0.523,13-16,0.448,54,0.817,0.217,0.086,0.033,0.606,0.742,0.513,0.651,0.368,0.509,1.06,,,,,,
13,2022,30,9,21,0.3,33-52,0.388,397-454,0.467,45454,0.353,30,0.765,0.169,0.059,0.028,0.634,0.68,0.506,0.616,0.351,0.486,0.91,,,,,,
13,2021,39,19,20,0.487,51-53,0.49,534-539,0.498,45611,0.577,34,0.839,0.143,0.098,0.032,0.633,0.756,0.513,0.667,0.332,0.499,1,,,,,,
13,2020,36,24,12,0.667,56-36,0.609,483-431,0.528,45457,0.7,36,0.839,0.2,0.085,0.035,0.62,0.751,0.519,0.663,0.357,0.512,1.06,,,,,,
13,2019,39,17,22,0.436,50-52,0.49,512-508,0.502,45516,0.4,38,0.808,0.194,0.09,0.04,0.598,0.737,0.518,0.649,0.351,0.5,1,,,,,,
14,2023,59,36,23,0.61,95-63,0.601,837-729,0.534,18-13,0.581,59,0.831,0.232,0.063,0.034,0.635,0.713,0.537,0.649,0.379,0.514,1.08,,,,,,
14,2022,73,51,22,0.699,123-68,0.644,1043-861,0.548,25-13,0.658,71,0.856,0.224,0.075,0.026,0.651,0.748,0.554,0.68,0.369,0.523,1.16,,,,,,
14,2021,76,58,18,0.763,125-55,0.694,979-744,0.568,45549,0.609,73,0.852,0.274,0.071,0.027,0.641,0.735,0.566,0.674,0.393,0.531,1.21,,,,,,
14,2020,35,22,13,0.629,51-38,0.573,460-396,0.537,45391,0.308,35,0.843,0.235,0.053,0.023,0.672,0.711,0.553,0.659,0.373,0.514,1.09,,,,,,
14,2019,42,23,19,0.548,49-47,0.51,472-431,0.523,45389,0.364,40,0.792,0.227,0.052,0.042,0.654,0.701,0.518,0.638,0.36,0.504,1,,,,,,
15,2023,31,19,12,0.613,48-25,0.658,401-316,0.559,45420,0.385,31,0.863,0.261,0.117,0.034,0.605,0.769,0.507,0.665,0.381,0.523,1.14,,,,,,
15,2022,33,19,14,0.576,44-30,0.595,382-329,0.537,45418,0.455,33,0.848,0.237,0.112,0.042,0.588,0.756,0.509,0.654,0.366,0.513,1.06,,,,,,
16,2023,24,12,12,0.5,33-25,0.569,301-280,0.518,45451,0.429,23,0.897,0.144,0.121,0.022,0.65,0.792,0.51,0.693,0.334,0.509,1.09,,,,,,
16,2022,44,32,12,0.727,80-44,0.645,665-573,0.537,45581,0.615,40,0.878,0.182,0.142,0.024,0.64,0.784,0.513,0.686,0.346,0.514,1.1,,,,,,
16,2021,55,42,13,0.764,102-43,0.703,811-646,0.557,45615,0.633,52,0.9,0.209,0.14,0.02,0.642,0.794,0.53,0.699,0.363,0.529,1.21,,,,,,
